PlotID,SiteNum,RowNum,ColNum,Position,PlotName,SiteName,CropName,SamplingWeek,Month,Day,Year,Height_cm,Height_mm,Diameter_mm,SPAD,TotCH_ugcm2,Temp_F
145,5,1,1,511,SP_SHVB-1,SP,VB,2,5,18,2018,11.4,114,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,VB,2,5,18,2018,16.6,166,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,VB,2,5,18,2018,15.1,151,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,VB,2,5,18,2018,13.4,134,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,VB,2,5,18,2018,17,170,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,SH,2,5,18,2018,5.1,51,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,SH,2,5,18,2018,12.7,127,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,SH,2,5,18,2018,9.4,94,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,SH,2,5,18,2018,7.9,79,NA,NA,NA,NA
145,5,1,1,511,SP_SHVB-1,SP,SH,2,5,18,2018,9.3,93,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,VB,2,5,18,2018,7.4,74,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,VB,2,5,18,2018,12.9,129,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,VB,2,5,18,2018,13.3,133,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,VB,2,5,18,2018,14,140,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,VB,2,5,18,2018,12.7,127,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,SS,2,5,18,2018,5.4,54,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,SS,2,5,18,2018,20.6,206,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,SS,2,5,18,2018,11.6,116,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,SS,2,5,18,2018,10.5,105,NA,NA,NA,NA
146,5,1,2,512,SP_SSVB-1,SP,SS,2,5,18,2018,7.8,78,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SS,2,5,18,2018,8.6,86,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SS,2,5,18,2018,20.2,202,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SS,2,5,18,2018,12.6,126,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SS,2,5,18,2018,15.8,158,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SS,2,5,18,2018,11.1,111,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SH,2,5,18,2018,5.4,54,NA,NA,NA,NA
147,5,1,3,513,SP_SHSS-1,SP,SH,2,5,18,2018,10.5,105,NA,NA,NA,NA
