SampleID,CropTrt,Location,Row,Cycle,Wt_Beaker_g,Wt_Soil_g,Pre-IgnitionWT_g,Post-IgnitionWT_g,AshWt_g,LOI or SOM (%),LOI or SOM (%)
181,SS,AG,1,Pre,12.782,0.448,13.23,13.196,0.414,-8.212560386,8.212560386
182,SH,AG,1,Pre,12.828,0.456,13.284,13.229,0.401,-13.71571072,13.71571072
183,SSVB,AG,1,Pre,13.132,0.484,13.616,13.583,0.451,-7.317073171,7.317073171
184,SHVB,AG,1,Pre,13.132,0.463,13.595,13.566,0.434,-6.68202765,6.68202765
185,SHSS,AG,1,Pre,13.075,0.421,13.496,13.473,0.398,-5.778894472,5.778894472
186,VB,AG,1,Pre,13.047,0.439,13.486,13.459,0.412,-6.553398058,6.553398058
187,SH,AG,2,Pre,12.764,0.421,13.185,13.169,0.405,-3.950617284,3.950617284
188,SHSS,AG,2,Pre,13.079,0.446,13.525,13.505,0.426,-4.694835681,4.694835681
189,SHVB,AG,2,Pre,13.123,0.445,13.568,13.541,0.418,-6.459330144,6.459330144
190,SS,AG,2,Pre,13.177,0.452,13.629,13.606,0.429,-5.361305361,5.361305361
191,VB,AG,2,Pre,13.091,0.458,13.549,13.534,0.443,-3.386004515,3.386004515
192,SSVB,AG,2,Pre,12.859,0.437,13.296,13.276,0.417,-4.79616307,4.79616307
193,SHVB,AG,3,Pre,12.792,0.465,13.257,13.24,0.448,-3.794642857,3.794642857
194,SS,AG,3,Pre,13.131,0.456,13.587,13.568,0.437,-4.347826087,4.347826087
195,VB,AG,3,Pre,12.828,0.466,13.294,13.273,0.445,-4.719101124,4.719101124
196,SSVB,AG,3,Pre,13.156,0.466,13.622,13.602,0.446,-4.484304933,4.484304933
197,SH,AG,3,Pre,13.141,0.425,13.566,13.544,0.403,-5.459057072,5.459057072
198,SHSS,AG,3,Pre,13.142,0.477,13.619,13.598,0.456,-4.605263158,4.605263158
199,SSVB,AG,4,Pre,13.086,0.46,13.546,13.529,0.443,-3.837471783,3.837471783
200,SHVB,AG,4,Pre,12.885,0.482,13.367,13.353,0.468,-2.991452991,2.991452991
201,SHSS,AG,4,Pre,13.054,0.479,13.533,13.513,0.459,-4.357298475,4.357298475
202,VB,AG,4,Pre,13.211,0.455,13.666,13.646,0.435,-4.597701149,4.597701149
203,SS,AG,4,Pre,13.099,0.476,13.575,13.551,0.452,-5.309734513,5.309734513
204,SH,AG,4,Pre,13.155,0.451,13.606,13.587,0.432,-4.398148148,4.398148148
205,VB,AG,5,Pre,13.06,0.482,13.542,13.524,0.464,-3.879310345,3.879310345
206,SSVB,AG,5,Pre,13.202,0.467,13.669,13.654,0.452,-3.318584071,3.318584071
207,SH,AG,5,Pre,13,0.453,13.453,13.438,0.438,-3.424657534,3.424657534
208,SHSS,AG,5,Pre,13.067,0.454,13.521,13.503,0.436,-4.128440367,4.128440367
209,SHVB,AG,5,Pre,12.811,0.446,13.257,13.233,0.422,-5.687203791,5.687203791
210,SS,AG,5,Pre,13.183,0.464,13.647,13.63,0.447,-3.803131991,3.803131991
211,SHSS,AG,6,Pre,12.786,0.385,13.171,13.157,0.371,-3.773584906,3.773584906
212,VB,AG,6,Pre,13.086,0.445,13.531,13.515,0.429,-3.72960373,3.72960373
213,SS,AG,6,Pre,13.053,0.472,13.525,13.512,0.459,-2.832244009,2.832244009
214,SH,AG,6,Pre,13.014,0.447,13.461,13.445,0.431,-3.712296984,3.712296984
215,SSVB,AG,6,Pre,13.209,0.392,13.601,13.584,0.375,-4.533333333,4.533333333
216,SHVB,AG,6,Pre,13.162,0.369,13.531,13.521,0.359,-2.78551532,2.78551532
181,SS,AG,1,Post,13.141,0.42,13.561,13.509,0.368,-14.13043478,14.13043478
182,SH,AG,1,Post,12.819,0.494,13.313,13.272,0.453,-9.050772627,9.050772627
183,SSVB,AG,1,Post,13.093,0.486,13.579,13.533,0.44,-10.45454545,10.45454545
