PlotID,PlotName,SiteName,CropTrt,CropName,Position,SiteNum,RowNum,ColNum,SamplingWeek,SamplingDate,Height_mm
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,130
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,85
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,160
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,130
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,115
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,110
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,90
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,70
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,90
1,VF_SHSS-1,VF,SHSS,SH,111,1,1,1,2,5/23/18,110
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,115
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,120
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,100
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,80
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,125
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,70
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,80
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,80
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,85
1,VF_SHSS-1,VF,SHSS,SS,111,1,1,1,2,5/23/18,95
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,240
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,200
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,185
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,170
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,145
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,200
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,210
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,180
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,150
2,VF_VB-1,VF,VB,VB,112,1,1,2,2,5/23/18,160
3,VF_SH-1,VF,SH,SH,113,1,1,3,2,5/23/18,125
